ko,present,past,future,en,type
모이다,모여요,모였어요,모일 거예요,"to come together, assemble, gather; accumulate, be gathered, collected, attracted; be focused, concentrated",verb
합치다,합쳐요,합쳤어요,합칠 거예요,"to combine, unite, put together, merge; add (up), total",verb
챙기다,챙겨요,챙겼어요,챙길 거예요,"to gather, pack, put things in order; take care of",verb
차리다,차려요,차렸어요,차릴 거예요,"to set, prepare; pull oneself together, regain consciousness, come to one's senses; seek, take",verb
갖추다,갖춰요,갖췄어요,갖출 거예요,"to get ready, prepare (for); be equipped (with), be equipped to do something; have, possess, meet/satisfy",verb
쌓다,쌓아요,쌓았어요,쌓을 거예요,"to pile up, stack, build, set up; accumulate, build (up), amass",verb
쌓이다,샇여요,샇였어요,샇일 거예요,"to pile up, be stacked up, amassed; be built, constructed",verb
붙다,붙어요,붙었어요,붙을 거에요,"to stick (to), adhere (to), cling (to); pass; ignite; gain; be charged",verb
붙이다,붙여요,붙였어요,붙일 거예요,"to stick, attach; ignite; add, put close to; have someone in attendance",verb
떼다,떼요,뗐어요,뗄 거예요,"to take off, remove, detach (smth from smth); deduct",verb
섞다,섞어요,섞었어요,섞을 거예요,"to blend, mix, shuffle",verb
섞이다,섞여요,섞였어요,섞일 거예요,"to be mixed, blended, shuffled; added",verb
나누다,나눠요,나눴어요,나눌 거예요,"to divide, split up; share; exchange; classify, sort",verb
나뉘다,나뉘어요,나뉘었어요,나뉠 거예요,"to be divided, split, distributed",verb
빌리다,빌려요,빌렸어요,빌릴 거예요,to borrow,verb
꾸다,꿔요,꿨어요,꿀 거예요,"to lend, borrow, scrounge; dream, have a dream",verb
빌려주다,빌려줘요,빌려줬어요,빌려줄 거예요,"to lend, loan",verb
사다,사요,샀어요,살 거예요,to buy,verb
사오다,사와요,사왔어요,사올 거예요,to buy something and bring it,verb
내다,내요,냈어요,낼 거예요,to pay,verb
팔다,팔아요,팔았어요,팔 거예요,to sell,verb
팔리다,팔려요,팔렸어요,팔릴 거예요,"to be sold, be in demand, sell out; be preoccupied, absorbed (in), distracted",verb
장보다,장봐요,장봤어요,장볼 거에요,"to go to the market, go grocery shopping",verb
비싸다,비싸요,비쌌어요,비쌀 거예요,to be expensive,verb
아깝다,아까워요,아까웠어요,아까울 거예요,"to be precious, valuable (not wanting to give up time, money, etc); regrettable, pitiful; What a waste (excessive use of time, money etc. to achieving something, but failed)",verb
아끼다,아껴요,아꼈어요,아낄 거예요,"to spare, save, be frugal, cut back on; value, treasure, cherish",verb
싸다,싸요,쌌어요,쌀 거예요,"to be inexpensive, cheap; to wrap up, pack",verb
돋보이다,돋보여요,돋보였어요,돋보일 거예요,"to stand out, look better, show to advantage",verb
드물다,드물어요,드물었어요,드물 거예요,"to be rare, unusual, uncommon",verb
벌다,벌어요,벌었어요,벌 거예요,"to earn (money), gain, save (time)",verb
벌주다,벌줘요,벌줬어요,벌줄 거예요,to punish,verb
흐리다,흐려요,흐렸어요,흐릴 거예요,"to be cloudy, blurry;",verb
비가 오다,비가 와요,비가 왔어요,비가 올 거예요,to rain,verb
덥다,더워요,더웠어요,더울 거예요,to be hot (weather),verb
춥다,춰요,췄어요,출 거예요,to be cold (weather),verb
차갑다,차가워요,차가웠어요,차가울 거예요,to be cold (objects),verb
뜨겁다,뜨거워요,뜨거웠어요,뜨거울 거예요,to be hot (objects) (still temperature),verb
달구다,달궈요,달궜어요,달굴 거예요,to heat (up),verb
끓이다,끓여요,끓였어요,끓일 거예요,"to boil (something), heat, cook; worry (about), feel axious (about)",verb
끓다,끓어요,끓었어요,끓을 거예요,"to boil, become very hot; fume (anger)",verb
찌다,쪄요,쪘어요,찔 거예요,to be steaming hot; cook with steam; gain weight,verb
추워지다,추워져요,추워졌어요,추워질 거예요,"to become cold, cool down",verb
식다,식어요,식었어요,식을 거예요,"to cool off, get cold, cool down; fade, die down",verb
식히다,식혀요,식혔어요,식힐 거예요,"to cool, make/let something cool; calm down",verb
쐬다,쐐요,쐤어요,쐴 거예요,to be exposed to air/sun/wind; be stung,verb
얼다,얼어요,얼었어요,얼 거예요,"to freeze, be frozen; tense up",verb
얼어붙다,얼어붙어요,얼어붙었어요,얼어붙을 거예요,"to be frozen, freeze up (and get stuck)",verb
녹다,녹아요,녹았어요,녹을 거예요,"to melt, thaw, unfreeze; dissolve; warm (up)",verb
젖다,젖어요,젖었어요,젖을 거예요,"to get wet, soaked, be moistened; be lost, sad; gripped (influenced by something)",verb
까맣다,까매요,까맸어요,까말 거예요,to be black; distant; countless,verb
검다,검어요,검었어요,검을 거예요,to be black,verb
빨갛다,빨개요,빨갰어요,빨갈 거예요,to be red,verb
붉다,붉어요,붉었어요,묽을 거예요,"to be red, crimson, (blood/red pepper)",verb
노랗다,노래요,노랬어요,노랄 거예요,to be yellow,verb
파랗다,파래요,파랬어요,파랄 거예요,to be blue,verb
푸르다,푸르러요,푸르렀어요,푸를 거예요,"to be blue, green; proud, hopeful; unripe; sullen, cold",verb
하얗다,하얘요,하얬어요,하얄 거예요,"to be white; in swarms, crowds; up all night",verb
희다,희어요,희었어요,싈 거예요,"to be white, fair",verb
